"id","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3","forum.posts","levels.complete","avatar.requests","teacher.requests","customize.character","facebook","time.in.session","av.seconds.per.task"
1,"GP","F",18,"U","GT3","A",4,4,"at_home","teacher","course","mother",2,2,0,"yes","no","no","yes","yes","yes","no","no",4,3,4,1,1,3,4,0,11,11,11,24,36,55,23,"no",120,13.2
2,"GP","F",17,"U","GT3","T",1,1,"at_home","other","course","father",1,2,0,"no","yes","no","yes","no","yes","yes","no",5,3,3,1,1,3,2,9,11,11,2,90,28,40,2,"no",180,155.25
3,"GP","F",15,"U","LE3","T",1,1,"at_home","other","other","mother",1,2,0,"yes","no","no","yes","yes","yes","yes","no",4,3,2,2,3,3,6,12,13,12,9,84,34,50,8,"no",168,44.52
4,"GP","F",15,"U","GT3","T",4,2,"health","services","home","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","yes",3,2,2,1,1,5,0,14,14,14,28,255,24,56,1,"no",255,42.075
5,"GP","F",16,"U","GT3","T",3,3,"other","other","home","father",1,2,0,"no","yes","no","yes","yes","yes","no","no",4,3,2,1,2,5,0,11,13,13,5,190,20,96,1,"no",570,280.25
6,"GP","M",16,"U","LE3","T",4,3,"services","other","reputation","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","no",5,4,2,1,2,5,6,12,12,13,8,50,34,120,0,"no",100,73.5
7,"GP","M",16,"U","LE3","T",2,2,"other","other","home","mother",1,2,0,"no","no","no","yes","yes","yes","yes","no",4,4,4,1,1,3,0,13,12,13,9,6,32,75,5,"no",18,2.34
8,"GP","F",17,"U","GT3","A",4,4,"other","teacher","home","mother",2,2,0,"yes","yes","no","yes","yes","yes","no","no",4,1,4,1,1,1,2,10,13,13,7,20,18,69,15,"no",80,35.4
9,"GP","M",15,"U","LE3","A",3,2,"services","other","home","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","no",4,2,2,1,1,1,0,15,16,17,11,34,34,31,11,"no",170,41.82
10,"GP","M",15,"U","GT3","T",3,4,"other","other","home","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","no",5,5,1,1,1,5,0,12,12,13,9,70,34,120,4,"no",70,79.1
11,"GP","F",15,"U","GT3","T",4,4,"teacher","health","reputation","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","no",3,3,3,1,2,2,2,14,14,14,13,4,12,112,0,"no",12,0.94
12,"GP","F",15,"U","GT3","T",2,1,"services","other","reputation","father",3,3,0,"no","yes","no","yes","yes","yes","yes","no",5,2,2,1,1,4,0,10,12,13,12,228,20,110,3,"no",684,174.42
13,"GP","M",15,"U","LE3","T",4,4,"health","services","course","father",1,1,0,"no","yes","no","yes","yes","yes","yes","no",4,3,3,1,3,5,0,12,13,12,7,55,22,75,0,"no",110,72.6
14,"GP","M",15,"U","GT3","T",4,3,"teacher","other","course","mother",2,2,0,"no","yes","no","yes","yes","yes","yes","no",5,4,3,1,2,3,0,12,12,13,9,72,34,72,1,"no",72,57.6
15,"GP","M",15,"U","GT3","A",2,2,"other","other","home","other",1,3,0,"no","yes","no","yes","yes","yes","yes","yes",4,5,2,1,1,3,0,14,14,15,14,126,36,140,3,"no",378,168.21
16,"GP","F",16,"U","GT3","T",4,4,"health","other","home","mother",1,1,0,"no","yes","no","yes","yes","yes","yes","no",4,4,4,1,2,2,6,17,17,17,8,30,30,136,1,"yes",120,29.25
17,"GP","F",16,"U","GT3","T",4,4,"services","services","reputation","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","no",3,2,3,1,2,2,10,13,13,14,9,72,26,130,1,"yes",72,28.08
18,"GP","F",16,"U","GT3","T",3,3,"other","other","reputation","mother",3,2,0,"yes","yes","no","yes","yes","yes","no","no",5,3,2,1,1,4,2,13,14,14,13,136,18,27,1,"no",136,208.76
19,"GP","M",17,"U","GT3","T",3,2,"services","services","course","mother",1,1,3,"no","yes","yes","yes","yes","yes","yes","no",5,5,5,2,4,5,2,8,8,7,9,65,42,64,0,"no",260,81.575
